full_name,county,state,state_abr,population_19,unemp_19%,nohealth_ins%,poverty_rate%,SNAP_recieved%,no_homecomp%,no_homeinternet%,home_havebroad%,broadProviders_num,broad_avail,broad_cost,population_bbn,Lowestpricepermonth_bbn,wired_bbn,provide_bbn,all25_bbn,downave_bbn,access_bbn,slowfrac_bbn
"Jefferson County, Florida",Jefferson,Florida,FL,14246,3.3,6.4,14.1,15.8,17.8,28.4,70.9,3,36.2,79.99,14836,69.99,2.872270154,7.872270154,3.889255864,10.92316258,31.15543273,1
"Lafayette County, Florida",Lafayette,Florida,FL,8422,3,17.6,20.1,17.7,19.8,28.4,70.8,1,53.4,79.99,7312,79.99,4,9,5,17.7,50,0
"Lake County, Florida",Lake,Florida,FL,367118,3.2,11.6,12.5,11.9,10,15.9,83.5,9,94.4,66.64,312309,29.99,5.158452046,10.16653058,6.627769293,68.93718746,93.45704094,0.563000106
"Lee County, Florida",Lee,Florida,FL,770577,3.1,14.3,14,10.2,8.5,17,82.1,8,95.4,80.66,618997,64.95,4.431454434,9.431454434,6.386392826,84.21041199,94.71048163,0.820008821
"Leon County, Florida",Leon,Florida,FL,293582,3.1,8.2,20.4,12.2,6,13.6,86.1,5,96,87.33,275476,65,3.821802988,8.821802988,5.821802988,72.28620511,95.83274768,0.302080762
"Levy County, Florida",Levy,Florida,FL,41503,3.7,15.5,20.7,19.2,18,36.2,62.8,4,21.4,70,35517,55,3.699298927,9.699298927,3.9356083,8.230169496,28.24011037,1
"Liberty County, Florida",Liberty,Florida,FL,8354,3.6,18.5,13,18.7,25.3,37.4,61.3,1,33,37.99,8364,48.79,1.227642276,6.227642276,3.227642276,7.453821138,33.3495935,1
"Madison County, Florida",Madison,Florida,FL,18493,3.8,13.1,28.2,19.9,28.8,40.5,58.5,3,65.4,79.99,19844,65,2.928593026,7.928593026,4.501058254,28.6384358,57.42355372,0.404958678
"Manatee County, Florida",Manatee,Florida,FL,403253,3.1,12.7,12.5,10.1,9.2,18.9,80.8,5,99.5,69.98,324806,29.99,3.602088631,9.894450841,6.666524017,98.0268508,99.71667395,0.247024378
"Marion County, Florida",Marion,Florida,FL,365579,3.8,12.3,16.6,15.7,15,21.7,77.2,11,93.4,67.19,317298,35,6.350002206,11.56037542,7.729005541,63.67379731,93.15102837,0.816207477
"Martin County, Florida",Martin,Florida,FL,161000,3.1,11.5,10.5,6.9,9.1,16.1,83.6,6,98.2,79.39,146839,35,6.483304844,12.47802695,8.118633333,82.31656215,98.31669379,0.139765321
"Miami-Dade County, Florida",Miami-Dade,Florida,FL,2716940,2.4,18.1,18,25.4,12.3,24.6,75.1,8,97.4,106.99,2496298,35,5.988633168,11.24093037,8.207492054,114.7289288,98.63481483,1
"Monroe County, Florida",Monroe,Florida,FL,74228,2.1,17.8,11.8,6.5,8.5,18.6,81.2,5,96.8,66.66,73057,35,4.96527369,10.23890934,6.960961989,132.1048491,97.99656433,0.074243399
"Nassau County, Florida",Nassau,Florida,FL,88625,2.9,11,10.2,10.4,7.5,14.9,84,8,94.4,75.5,73213,35,5.169532733,10.16953273,6.865406417,128.6742876,95.05549561,0.173944518
"Okaloosa County, Florida",Okaloosa,Florida,FL,210738,2.7,12.2,11.5,9.6,8.6,17.8,81.8,7,94.9,65.99,182327,35,4.568270196,10.99923215,7.081951658,80.82741179,94.4351248,0.219594465
"Okeechobee County, Florida",Okeechobee,Florida,FL,42168,3.5,18.1,22.7,18.7,19.8,39.7,59.6,3,85.6,79.99,43841,65,4.079400561,11.15880112,6.079400561,94.43790037,82.63520449,0
"Orange County, Florida",Orange,Florida,FL,1393452,2.9,14.5,16.1,15.8,6.7,14.3,85.4,10,99.6,70.32,1176577,35,7.738034145,12.79147731,9.419306174,80.29041178,99.80619883,1
"Osceola County, Florida",Osceola,Florida,FL,375751,3.3,15.8,16.3,21.7,14.4,22.9,76.8,9,99,69.49,260420,29.99,6.195223101,11.25084479,7.77266339,79.8198719,99.14895553,0.238940942
"Palm Beach County, Florida",Palm Beach,Florida,FL,1496770,3.3,13.6,12.8,10.3,9.1,16.5,83.1,6,98.3,100.23,1325581,35,6.30407195,11.52567289,8.180621177,123.4601298,99.10220726,1
"Pasco County, Florida",Pasco,Florida,FL,553947,3.5,11.8,13.5,13.9,11.3,19.3,80.3,6,99.1,73.39,448619,29.99,4.07914511,9.431653586,6.180010209,95.57390331,98.90334337,0.625350242
"Pinellas County, Florida",Pinellas,Florida,FL,974996,3,11.5,13,10.9,11.8,19,80.6,4,99.9,68.33,913579,29.99,4.176509092,9.631861065,6.52240474,98.08437176,99.93357225,1
"Polk County, Florida",Polk,Florida,FL,724777,3.7,13.2,16.6,15.4,14.5,33,66.6,7,96.6,76.74,604569,29.99,4.005236789,9.242268459,5.895558654,79.45439397,97.12537031,0.887576108
"Putnam County, Florida",Putnam,Florida,FL,74521,4.3,16,24.8,21.4,20.7,31.2,67.9,4,82.9,70,80939,35,4.215199101,9.651824213,5.033000161,54.76261987,82.6838854,0.431102435
"St. Johns County, Florida",St. Johns,Florida,FL,264672,2.6,8.4,8.4,5.8,6.5,13.1,86.2,6,96.1,69.33,189995,35,5.724945393,10.72494539,7.576299376,96.2123008,97.81168978,0.112634543
"St. Lucie County, Florida",St. Lucie,Florida,FL,328297,3.9,14,15,12.9,10.1,17.5,82,4,97.7,76.38,270600,34.99,6.308865484,12.44255358,8.308865484,112.2787564,98.15786401,0.255225425
"Santa Rosa County, Florida",Santa Rosa,Florida,FL,184313,3,10,9.8,11.3,6.1,13.1,86.4,7,99.9,59.99,152979,35,6.376032004,12.18724139,7.967557639,110.7575184,97.17428536,0.089018754
"Sarasota County, Florida",Sarasota,Florida,FL,433742,3.1,11.4,9.7,6.4,9.5,16,83.6,7,97.3,66.66,379835,29.99,3.659620625,9.76402122,6.733742283,113.0021826,99.15339555,0.594063212
"Seminole County, Florida",Seminole,Florida,FL,471826,2.9,10.4,11.4,8.6,5.4,10.3,89.4,7,97.3,71.99,385884,35,6.866752703,11.8667527,8.676731868,92.5705604,99.91309824,0.258414446
"Sumter County, Florida",Sumter,Florida,FL,132420,4.6,6.2,8.8,4.8,9.1,15.2,83.7,6,95.2,74.99,94024,65,4.719805582,9.719805582,6.534682634,56.27753148,94.06837616,0.205819791
"Suwannee County, Florida",Suwannee,Florida,FL,44417,3.4,13.9,17.8,23.6,17.2,24.2,75.2,2,83.4,79.99,39927,79.99,2.798807824,7.95897513,4.798807824,18.94864277,87.21551832,0.464948531
"Taylor County, Florida",Taylor,Florida,FL,21569,3.6,10.9,19.8,21.6,19.3,34.6,63.9,2,65.4,70,22220,79.99,2.154905491,7.232358236,3.922547255,25.54712376,67.39612961,0.077452745
"Union County, Florida",Union,Florida,FL,15237,3,12.4,22,20.3,26.1,36.2,61.5,2,50.5,79.99,17250,,2.698782609,7.698782609,3.985333333,20.13574957,62.296,0.014666667
"Volusia County, Florida",Volusia,Florida,FL,553284,3.4,12.5,15.2,13.8,10.3,21.6,77.9,8,98.4,73.28,497490,35,6.130247844,11.19487226,7.935445939,74.66891192,98.59379887,0.814153048
"Wakulla County, Florida",Wakulla,Florida,FL,33739,2.9,9,11.5,12.7,9.8,23.6,76.3,5,93.6,58.99,30791,48.79,4.139326427,9.139326427,6.069663213,56.51522523,93.49212432,0.124646812
"Walton County, Florida",Walton,Florida,FL,74071,2.8,13.5,14.7,10.6,11.3,19.5,79.9,10,85.4,65.19,52464,44.99,4.546717749,10.29740393,6.749904697,56.6383442,82.42949451,0.217291857
"Washington County, Florida",Washington,Florida,FL,25473,3.4,12.8,22.4,19.6,16.6,26.2,72.7,5,38,71.19,22978,65,4.71877448,10.65458264,4.698668291,23.43892811,37.73722691,0.2422317
"Appling County, Georgia",Appling,Georgia,GA,18386,3.9,15.6,23.3,19,23.2,40.2,57.8,3,46.9,70,16788,55,6.832261139,11.83226114,6.832261139,26.88616631,61.31617822,0.041934715
"Atkinson County, Georgia",Atkinson,Georgia,GA,8165,3,24.9,30,21.2,26.4,44.2,55.4,4,61,88.46,8209,25,4.8066756,9.8066756,5.8066756,11.94712267,74.8400536,0.4033378
"Bacon County, Georgia",Bacon,Georgia,GA,11164,3.5,19,27.2,18.4,20.4,36.8,63,2,70.7,25,9848,25,6,12,6,68.68,83,0
"Baker County, Georgia",Baker,Georgia,GA,3038,4.7,14,21.3,10.8,42,51.4,48.2,2,1.7,60,2238,55,2,8,4,62.82,49,0
"Baldwin County, Georgia",Baldwin,Georgia,GA,44890,4.2,11.6,26.2,15.4,19.5,29,70.5,3,94.4,65.23,43755,35,9,15,10,122.72,95,0
"Banks County, Georgia",Banks,Georgia,GA,19234,2.7,15.8,13.4,13,24.3,34.1,64.3,3,74.4,114.63,6454,59.95,3.50635265,9,5.50635265,21.45303998,78.43012086,0
"Barrow County, Georgia",Barrow,Georgia,GA,83240,2.8,14.9,12.1,13.9,10.6,18.2,81.2,7,99.3,67.5,85347,35,6.993872075,11.99387208,8.892415668,113.2422896,99.55666866,0
"Bartow County, Georgia",Bartow,Georgia,GA,107738,3.3,14.8,13.2,13.3,10,19.9,79.6,7,95.6,62.5,102623,35,5.488701363,11.48870136,7.417216413,51.47999747,97.04142346,0.316030519
"Ben Hill County, Georgia",Ben Hill,Georgia,GA,16700,5.5,17.2,31.6,18.5,27.5,43.8,55.8,2,91,79.99,18687,44.95,5,10,7,25.16,90,0
"Berrien County, Georgia",Berrien,Georgia,GA,19397,4,21.7,26.3,21.9,22.8,39.6,59.8,2,83.5,52.48,20645,69.99,4.037829983,9.067134899,5,26.60658755,86.94453863,0.240300315
"Bibb County, Georgia",Bibb,Georgia,GA,153159,3.9,13.4,25.7,20.3,16.5,28.2,71.6,7,97.1,60.16,174547,35,8.334471518,14.74620589,8.424229577,71.34194148,95.63227096,0.304084287
"Bleckley County, Georgia",Bleckley,Georgia,GA,12873,5,10.4,20.8,18,24.3,34.5,64.6,2,43.6,60,13756,69.99,11,17,7,27.6,56,0
"Brantley County, Georgia",Brantley,Georgia,GA,19109,4.1,19.1,24.1,21.2,19.1,37.7,61.5,6,99.8,58.75,12844,69.99,2.188881968,7.562285892,4.188881968,71.52344207,98.5063843,0
"Brooks County, Georgia",Brooks,Georgia,GA,15457,3.4,20.8,27,18,19.7,32.4,66.5,4,80,66.24,10656,35,6.184496997,12.00178303,6.465277778,26.13142924,83.18571697,0.182713964
"Bryan County, Georgia",Bryan,Georgia,GA,39627,3,11.2,14.1,8,7.4,14.1,85.3,9,97.8,63.7,34126,29,7.616333587,13.61633359,8.616333587,83.66901395,98.19829456,0
"Bulloch County, Georgia",Bulloch,Georgia,GA,79608,3.7,13.4,28.7,16.7,11.3,26.3,73.2,6,100,62.24,65886,29,5.91108885,11.91108885,6.956773821,62.4559565,100,0.069468476
"Burke County, Georgia",Burke,Georgia,GA,22383,5.1,13.6,24.8,21.9,16.9,32.9,66.5,3,73.3,70,19294,79.99,4.052814346,9.942987457,3.942987457,35.50067223,71.16621748,0.276148025
"Butts County, Georgia",Butts,Georgia,GA,24936,3.4,10.4,23.8,20.1,21.7,33.4,66.4,6,79.6,67.5,1934,35,4,9,6,111.78,98,0
"Calhoun County, Georgia",Calhoun,Georgia,GA,6189,3.6,19.3,29.7,34.8,32.9,42.3,57.3,2,44.8,60,7998,69.99,2.36184046,6.791447862,3.40460115,26.37677919,42.60690173,0.429607402
"Camden County, Georgia",Camden,Georgia,GA,54666,3.6,11.7,12.9,12.2,9.2,16.3,83.4,6,95.3,70.98,49107,35,4.927036879,9.964526442,6.927036879,75.59485308,98.02211497,0.177449243
"Candler County, Georgia",Candler,Georgia,GA,10803,3,21,32.8,21.2,26.6,42.3,57.5,4,100,69.97,10877,50,7,13,8,33.08,100,0
"Carroll County, Georgia",Carroll,Georgia,GA,119992,3.4,12.2,18.8,17.2,11.7,21.2,78.4,6,85.7,62.99,110907,35,5.262102482,11.86958443,8.11093078,69.75503413,93.92833635,0.172946703
"Catoosa County, Georgia",Catoosa,Georgia,GA,67580,3,12,9.8,10,12,18.8,80.5,11,99.2,62.56,48545,35,13.7556288,19.7556288,13.22010506,59.90857493,99.15482542,0.001153569
"Charlton County, Georgia",Charlton,Georgia,GA,13392,3.8,21.1,24.4,19.9,24.2,35.9,62.7,3,68.8,74.99,12274,50,5.467899625,10.64526642,7.645266417,18.25727962,74.8715985,0.177366792
"Chatham County, Georgia",Chatham,Georgia,GA,289430,3.3,14.5,15.8,13.5,8.9,16,83.7,10,96.7,63.85,260614,35,7.485154289,13.48515429,8.572336866,80.37847073,98.33769099,0.240482092
"Chattahoochee County, Georgia",Chattahoochee,Georgia,GA,10907,4.6,6.4,16.8,9.7,14.2,21.6,78.4,2,72.4,80.31,19235,44.99,5,11,4.834104497,73.57591786,82.74224071,0
"Chattooga County, Georgia",Chattooga,Georgia,GA,24789,5,15.4,19.9,18.1,23.8,32.5,67.3,2,94.2,64.98,27977,69.95,5.546913536,12.91014047,7.602602137,50.48955463,96.34042249,0.158022661
"Cherokee County, Georgia",Cherokee,Georgia,GA,258773,2.7,10.9,8.1,5,4.7,7.9,91.8,9,98.4,69.11,217437,35,8.159089759,13.75413568,9.146782746,154.7680883,98.77653757,0.024292094
"Clarke County, Georgia",Clarke,Georgia,GA,128331,3.6,14,31.3,14.2,9.8,19.8,80,8,99.5,62.99,123021,35,6.610115346,11.69867746,8.336292178,91.89188065,99.83541834,0.178904415
"Clay County, Georgia",Clay,Georgia,GA,2834,6.9,23.6,41.1,36.9,28,36.4,60.7,2,66.1,59.99,2932,69.99,3.443383356,8.257844475,5.443383356,7.454570259,73.27967258,0.185538881
"Clayton County, Georgia",Clayton,Georgia,GA,292256,4.2,19.2,20,22.5,8.7,22.5,77.2,8,99.3,79.35,279090,35,6.155405066,11.15540507,7.668759182,84.97880848,99.62173851,0.177283314
"Clinch County, Georgia",Clinch,Georgia,GA,6618,3.9,21.2,39.2,20.5,33.5,54.2,45.1,2,55,79.99,6822,79.99,2.713280563,7.713280563,4.713280563,29.42635737,62.6996482,0.143359719
"Cobb County, Georgia",Cobb,Georgia,GA,760141,3,13,10,7.8,4.3,10,89.7,8,98.5,92.54,685417,35,6.909231898,12.01526516,8.613922619,114.4339466,98.74069508,0.285007521
"Coffee County, Georgia",Coffee,Georgia,GA,43273,3.9,19.2,22.3,18.2,23.6,37.5,61.9,3,89.5,83.47,38082,25,5.788771598,10.7887716,6.935560107,36.531804,90.68615094,0.244840082
"Colquitt County, Georgia",Colquitt,Georgia,GA,45600,3.2,23.6,25.2,23,17.7,28.7,70.9,4,88.6,109.61,46710,34.95,5.154292443,10.28381503,6.466409762,22.00451552,90.09768786,0.494390923
"Columbia County, Georgia",Columbia,Georgia,GA,156714,3,8,8.8,5.1,7.5,18.9,80.9,6,89.8,66.66,134552,35,7.163840002,12.2713895,8.570351983,104.1085014,93.85798056,0.111897259
"Cook County, Georgia",Cook,Georgia,GA,17270,3.4,18,24,18.9,23.8,39.1,60.5,5,84.7,131.95,14225,55,6,12,7.005975395,34.15549033,87.01792619,0
"Coweta County, Georgia",Coweta,Georgia,GA,148509,2.9,10.4,11.1,9,8.8,16.5,83.3,7,96.3,67.5,127431,35,6.713201654,12.41408292,8.713201654,81.23490485,98.43100972,0.067283471
"Crawford County, Georgia",Crawford,Georgia,GA,12404,3.6,13.5,19.7,16.6,16.9,30.7,68.1,5,93.8,68.66,5678,79.99,3.256076083,9.884114125,4.628038042,21.29335858,96.72384642,0.371961958
"Crisp County, Georgia",Crisp,Georgia,GA,22372,3.9,16.8,30.8,25.8,24.1,40.4,59,3,82.1,99.21,21938,34.95,9,15,8,20.98,88,0
"Dade County, Georgia",Dade,Georgia,GA,16116,3.3,12.4,15.1,10.2,16.3,26,72.9,6,91.1,67.58,15386,55,6,12.72611465,7,40.2100247,90.30865722,0.116144547
"Dawson County, Georgia",Dawson,Georgia,GA,26108,2.8,11.2,8.7,10.6,8,16.9,83.1,6,87.4,68.65,26685,35,9,16,12,66.33,92,0
"Decatur County, Georgia",Decatur,Georgia,GA,26404,3.8,19.1,25.2,20.8,36.8,47.4,52.3,4,69.3,61.17,27461,55,4.349441025,11.34944103,5.989184662,153.4795011,77.61782164,0.192454754
"DeKalb County, Georgia",DeKalb,Georgia,GA,759297,3.4,14.8,16.6,14.3,7.6,16.9,82.9,6,99.1,70.33,745107,35,6.083820176,11.26670398,8.052984336,92.66205269,99.58310149,0.734106645
"Dodge County, Georgia",Dodge,Georgia,GA,20605,5.4,11.3,23.6,20.2,33,45,54.8,2,64.7,70,23654,69.99,8.824215777,13.77031369,6.217257124,18.69695781,69.78029086,0.349666018
"Dooly County, Georgia",Dooly,Georgia,GA,13390,3.8,16.2,24.6,27.2,27.7,40.3,58.4,5,68.5,112.95,13607,34.95,7.181230249,12.72653781,5,5.168941721,55.40839274,1
"Dougherty County, Georgia",Dougherty,Georgia,GA,87956,4.7,17,29.4,27.2,17.8,28,71.8,3,99,70,101511,35,4.649643881,10.64964388,6.451685039,81.76915369,98.30378974,0
"Douglas County, Georgia",Douglas,Georgia,GA,146343,3.5,13.2,13.1,13.6,6.8,20.8,79.1,6,98,72.23,135569,35,6.935530984,11.93553098,8.551254343,112.0595795,98.90370217,0.064469016
"Early County, Georgia",Early,Georgia,GA,10190,3.9,15.7,28.8,23,35.4,44.8,54.5,2,39.6,62.48,8550,79.99,3,8,5,23.17,52,0
"Echols County, Georgia",Echols,Georgia,GA,4006,2.8,25.6,26.8,11.2,32.1,55.8,44.2,0,0,,1040,,2,8,2,36.37,0,0
"Effingham County, Georgia",Effingham,Georgia,GA,64296,2.9,9.8,8.6,8.9,7.9,15.8,82.9,5,94.9,62.5,54598,35,6.01236309,12.01236309,7.070606982,44.81919851,97.57873915,0.18044617
"Elbert County, Georgia",Elbert,Georgia,GA,19194,4,14.6,19.5,20,32.6,42.4,57.1,2,80.6,75.97,18720,59.95,6.860523504,13,5,28.84102564,84.60523504,0.139476496
"Emanuel County, Georgia",Emanuel,Georgia,GA,22646,5.3,17.9,27,24.1,20,34.7,65.1,3,95.1,89.76,20024,59.95,7.316620056,14.14257891,5.901068718,29.12309229,94.41535158,0.325809029
"Evans County, Georgia",Evans,Georgia,GA,10654,3.4,16.8,27.3,27.7,20.2,33.7,66.1,4,83.5,66.65,11090,59.95,8,15,8,72.45,82,0
"Fannin County, Georgia",Fannin,Georgia,GA,26188,3.3,13.4,13.5,10.3,15.6,20.9,78.3,7,90.7,63.78,23768,42.95,7.524991585,12.99503534,7.335955907,16.42020742,91.7786099,0.529956244
"Fayette County, Georgia",Fayette,Georgia,GA,114421,3,7.3,5.6,4.6,6.6,10.6,89.2,6,98.6,62.99,108994,35,6.382571518,11.73240729,7.795548379,114.5845539,98.9483733,0.104106648
"Floyd County, Georgia",Floyd,Georgia,GA,98498,3.8,13.8,19.1,15.6,16.6,22.4,77.3,6,92.9,62.99,92460,35,7.465931213,15.60073545,8.934090417,86.7448103,96.74063379,0.121198356
"Forsyth County, Georgia",Forsyth,Georgia,GA,244252,2.7,8.9,5.9,4,4,7.3,92.6,6,99.8,72.99,184207,35,7.672526017,13.03929275,9.446068825,107.069866,99.57955995,0.070073341
"Franklin County, Georgia",Franklin,Georgia,GA,23349,3.5,16.4,24.8,24.8,21.7,35.6,63.3,4,62,73.31,23354,69.99,5.878222146,11.800805,7.287488225,23.46490023,83.0340841,0.401216066
"Fulton County, Georgia",Fulton,Georgia,GA,1063937,3.5,11,15.1,12.1,8.4,16.7,83.1,8,97.4,87.29,935026,35,7.212016564,12.74104356,9.33117047,105.452082,99.37798842,0.748958852
"Gilmer County, Georgia",Gilmer,Georgia,GA,31369,3.5,21.4,16.3,12.2,17.5,25.2,73.7,5,82.9,71.98,25660,66.95,6,12,7,26.02098558,87.97774747,0
"Glascock County, Georgia",Glascock,Georgia,GA,2971,3.7,8.3,18.3,14.2,23.7,36.1,63,2,0.7,69.99,2138,79.99,2,8,4,44.7,1,0
"Glynn County, Georgia",Glynn,Georgia,GA,85292,3.3,14.1,18.3,16.8,13.3,21.7,78.1,5,97.7,62.99,79064,35,5.854269959,11.37885763,7.483861176,76.64554159,98.4652307,0.010181625
"Gordon County, Georgia",Gordon,Georgia,GA,57963,3.4,16.2,20,15.9,17.5,29.9,69.9,6,90.2,67.99,52975,35,5.99452572,12.17610193,7.173025012,35.68999585,94.88730533,0.24392638
"Grady County, Georgia",Grady,Georgia,GA,24633,3.4,18.3,23.5,20.9,20.7,29.2,70.4,3,82.7,62.47,22422,69.99,6.351351351,13.18000178,6.351351351,23.57375435,88.44911248,0.324324324
"Greene County, Georgia",Greene,Georgia,GA,18324,3.9,15.8,22.3,14.8,18.5,31.9,67.7,10,68.8,55.12,15688,25,8.95436002,14.86677715,9.53199898,109.4971985,71.66751657,0.005099439
"Gwinnett County, Georgia",Gwinnett,Georgia,GA,936250,3,17,11.4,8.5,4.8,12.3,87.5,8,99.4,66.57,743670,35,6.841032985,11.97708392,8.589141689,115.0066496,99.50848091,0.205113827
"Habersham County, Georgia",Habersham,Georgia,GA,45328,3.5,17.3,14.5,13.4,23.1,32.8,66.7,3,83.9,79.99,44889,59.95,4.434404865,11.09282898,6.25126423,21.9294306,93.30092005,0.712535365
"Hall County, Georgia",Hall,Georgia,GA,204441,2.8,17.4,14.6,10.5,10.5,17.6,82.1,7,98.1,67.5,181957,35,6.78408635,11.80630589,8.45244206,78.63233984,98.79622658,0.161763494
"Hancock County, Georgia",Hancock,Georgia,GA,8457,5.5,9.5,24.1,26.2,37.8,54.3,45.7,4,5.2,69.99,9656,69.99,6,12,8,16.19,62,0
"Haralson County, Georgia",Haralson,Georgia,GA,29792,3.3,12.3,15.5,16.6,17.1,27,72.5,6,45.3,67.5,43424,35,4.77595339,11.93830601,7.77595339,46.72022039,100,0.305545321
"Harris County, Georgia",Harris,Georgia,GA,35236,3.1,7.8,6.8,7.8,10.5,17.4,81.1,9,89.8,75.24,31827,35,7.749458007,14.01363622,8.323718855,35.26912181,84.95616929,0.459232727
"Hart County, Georgia",Hart,Georgia,GA,26205,3.5,11.4,17.4,16.5,22,33.7,65.6,5,83.9,79.97,16382,79.95,5,10,5,25.51,99,0
"Heard County, Georgia",Heard,Georgia,GA,11923,3.3,12.6,15.6,23.2,19.2,32.9,67.1,3,58.8,65,9433,55,3,9,5,30.2,72,0
"Henry County, Georgia",Henry,Georgia,GA,234561,3.5,11,10.4,10.8,5.1,12.8,87,6,99.6,67.5,152626,35,6.252702685,11.57623865,8.252702685,83.48858406,99.8476734,0
"Houston County, Georgia",Houston,Georgia,GA,157863,3.3,11.8,15.7,13.2,10.9,20,79.9,9,98,60.16,130631,35,10.79206314,16.79206314,11.24124442,76.17167234,96.87310822,0.285376365
"Irwin County, Georgia",Irwin,Georgia,GA,9416,4.7,15.8,26.5,16.9,32.4,42.4,57.3,2,63.1,60,6714,69.99,3,8,5,25.15,76,0
"Jackson County, Georgia",Jackson,Georgia,GA,72977,2.7,12,11,12.1,14,21.6,77.7,6,87.5,62.99,63860,35,5.841309114,11.54597557,7.830363295,82.65852412,94.65692139,0.22815534
"Jasper County, Georgia",Jasper,Georgia,GA,14219,3.1,13.7,17.8,20.4,16.5,31.4,68.3,2,63,67.5,11254,35,6.266127599,12.2661276,7.223564955,18.29277501,76.27536876,0.160298561
"Jeff Davis County, Georgia",Jeff Davis,Georgia,GA,15115,4.6,19.7,20.6,17.1,21.8,45.7,54.3,1,69.2,70,14468,55,5,10,5,45.07,73,0
"Jefferson County, Georgia",Jefferson,Georgia,GA,15362,4.7,14.4,24.8,25.7,25.9,45.3,53.8,2,8.3,58.74,17512,50,4.526153495,9.891502969,3.481555505,10.73854957,8.981669712,0.672910005
"Jenkins County, Georgia",Jenkins,Georgia,GA,8676,5.1,16.7,29.3,26.3,25.3,45.7,52.8,5,81.7,66.65,7698,55,7,12,8,23.31,86,0
"Johnson County, Georgia",Johnson,Georgia,GA,9643,3.6,14.8,22.6,21.6,28.1,41.7,57.4,1,28.7,114.63,9201,,4.803716987,10.80371699,3.196283013,16.55293772,22.03945223,0
"Jones County, Georgia",Jones,Georgia,GA,28735,3.2,11.6,15,15.1,13.5,22,77.2,6,85,63.49,16653,65.99,5.361076082,11.2013451,5.680538041,19.54000841,88.7986549,0.159730979
"Lamar County, Georgia",Lamar,Georgia,GA,19077,3.9,13.7,20.2,12.5,17.7,30.8,69.2,3,71,67.5,19148,35,6,12.78389388,6.352987257,35.83293608,76.98851055,0.079224984
"Lanier County, Georgia",Lanier,Georgia,GA,10423,3.9,15.7,23.8,18.2,24.1,49,51,4,84,70,6560,50,7,12,7,20.38,90,0
"Laurens County, Georgia",Laurens,Georgia,GA,47546,4.6,11.2,26.7,19.6,28.2,42.4,56.7,4,60.9,98.76,50842,34.95,6.384917981,12.24023445,4.726544982,32.11702274,66.98428465,0.438476063
"Lee County, Georgia",Lee,Georgia,GA,29992,3.1,10.9,13.8,10.5,8.8,17.4,82.4,2,93.2,66.59,24792,35,7.639883833,14.63988383,5.819941917,60.92317522,91.43852856,0.060019361
"Liberty County, Georgia",Liberty,Georgia,GA,61435,3.7,12.5,16.8,15.1,7.9,16.4,83.4,8,95.9,60,63106,50,5.812569328,11.81256933,7.173929579,69.24071594,95.20896587,0.361360251
"Lincoln County, Georgia",Lincoln,Georgia,GA,7921,3.9,12.4,19.5,15.3,31.7,46.8,53.1,1,100,62.97,7676,59.99,3,8,4,39.14,100,0
"Long County, Georgia",Long,Georgia,GA,19559,3.6,14.8,20,17.9,8.9,21.3,78.7,7,89.5,65,9749,65,5,11,7,20.02,92,0
"Lowndes County, Georgia",Lowndes,Georgia,GA,117406,3.5,15.8,25.2,18.8,15.2,34.7,65,8,90.1,83.98,114159,35,7.905403867,13.3094894,8.864960275,54.00493715,94.65015461,0.232474006
"Lumpkin County, Georgia",Lumpkin,Georgia,GA,33610,3.1,11.7,17.2,13.4,14.5,21.4,77.7,5,81.3,70,25296,55,6,11,8,36.05,88,0
"McDuffie County, Georgia",McDuffie,Georgia,GA,21312,5.1,13.4,24.9,22.9,26.2,41.4,58.1,2,67,63.33,21816,35,4.576916025,10.57691602,4.576916025,31.15482994,82.82687019,0
"McIntosh County, Georgia",McIntosh,Georgia,GA,14378,3.6,15.9,19.9,18,15.8,27,71.4,7,83.5,63.33,15739,69.95,4.251794904,9.862888366,5.871275176,29.11082026,96.10693183,0.120338014
"Macon County, Georgia",Macon,Georgia,GA,12947,4.6,20.1,27.2,26.4,25.6,42.1,57.8,3,67.6,59.99,13273,50,3.408724478,9.408724478,5.408724478,13.92946056,75.59677541,0.164393882
"Madison County, Georgia",Madison,Georgia,GA,29880,3,13.7,17.4,14,18.9,28.2,71.1,1,82.4,70,35044,35,5.585292775,11.68542404,7.270973633,24.01657802,93.34724917,0.801792033
"Marion County, Georgia",Marion,Georgia,GA,8359,4.2,14.2,21,20.1,23.5,45.2,54.5,3,97.6,69.97,8670,55,5.693886967,11.69388697,7.04083045,18.39831142,75.26528258,0.346943483
"Meriwether County, Georgia",Meriwether,Georgia,GA,21167,4.5,14.3,21.5,21.5,27.2,41.2,57.2,4,52,69.99,19621,35,3.578512818,9.925386066,4.61138576,34.28856888,62.41868406,0.6895673
"Miller County, Georgia",Miller,Georgia,GA,5718,3.3,14.7,23,19,37.7,48.1,50.3,4,11.4,62.48,7044,55,5.626064736,11.50141965,7.252129472,5.943057922,55.14735945,1
"Mitchell County, Georgia",Mitchell,Georgia,GA,21863,4.6,17.7,24,25,23.5,35.4,64.1,3,62.9,66.65,22505,35,6.183736947,12.61395246,5.624838925,48.93634392,65.00057765,0.128682515
"Monroe County, Georgia",Monroe,Georgia,GA,27578,3.2,11.8,13.9,9.7,14.6,25,74.4,10,53.5,67.19,42848,35,7.598464339,14.05659541,9.286384429,32.41948166,80.81457711,0.078019978
